Iteration: #226, Cost: nan, Gradient Magnitude: 111.60
Iteration: #227, Cost: nan, Gradient Magnitude: 111.38
Iteration: #228, Cost: nan, Gradient Magnitude: 111.16
Iteration: #229, Cost: nan, Gradient Magnitude: 110.93
Iteration: #230, Cost: nan, Gradient Magnitude: 110.71
Iteration: #231, Cost: nan, Gradient Magnitude: 110.49
Iteration: #232, Cost: nan, Gradient Magnitude: 110.28
Iteration: #233, Cost: nan, Gradient Magnitude: 110.06
Iteration: #234, Cost: nan, Gradient Magnitude: 109.85
Iteration: #235, Cost: nan, Gradient Magnitude: 109.64
Iteration: #236, Cost: nan, Gradient Magnitude: 109.43
Iteration: #237, Cost: nan, Gradient Magnitude: 109.23
Iteration: #238, Cost: nan, Gradient Magnitude: 109.03
Iteration: #239, Cost: nan, Gradient Magnitude: 108.85
Iteration: #240, Cost: nan, Gradient Magnitude: 108.67
Iteration: #241, Cost: nan, Gradient Magnitude: 108.50
Iteration: #242, Cost: nan, Gradient Magnitude: 108.36
Iteration: #243, Cost: nan, Gradient Magnitude: 108.25
Iteration: #244, Cost: nan, Gradient Magnitude: 108.19
Iteration: #245, Cost: nan, Gradient Magnitude: 108.23
Iteration: #246, Cost: nan, Gradient Magnitude: 108.51
Iteration: #247, Cost: nan, Gradient Magnitude: 109.67
Iteration: #248, Cost: nan, Gradient Magnitude: 153.78
Iteration: #249, Cost: nan, Gradient Magnitude: 136.40
Iteration: #250, Cost: nan, Gradient Magnitude: 105.20
Iteration: #251, Cost: nan, Gradient Magnitude: 104.98
Iteration: #252, Cost: nan, Gradient Magnitude: 104.78
Iteration: #253, Cost: nan, Gradient Magnitude: 104.59
Iteration: #254, Cost: nan, Gradient Magnitude: 104.39
Iteration: #255, Cost: nan, Gradient Magnitude: 104.19
Iteration: #256, Cost: nan, Gradient Magnitude: 103.99
Iteration: #257, Cost: nan, Gradient Magnitude: 103.79
Iteration: #258, Cost: nan, Gradient Magnitude: 103.59
Iteration: #259, Cost: nan, Gradient Magnitude: 103.39
Iteration: #260, Cost: nan, Gradient Magnitude: 103.19
Iteration: #261, Cost: nan, Gradient Magnitude: 102.99
Iteration: #262, Cost: nan, Gradient Magnitude: 102.79
Iteration: #263, Cost: nan, Gradient Magnitude: 102.58
Iteration: #264, Cost: nan, Gradient Magnitude: 102.38
Iteration: #265, Cost: nan, Gradient Magnitude: 102.18
Iteration: #266, Cost: nan, Gradient Magnitude: 101.98
Iteration: #267, Cost: nan, Gradient Magnitude: 101.78
Iteration: #268, Cost: nan, Gradient Magnitude: 101.58
Iteration: #269, Cost: nan, Gradient Magnitude: 101.37
Iteration: #270, Cost: nan, Gradient Magnitude: 101.17
Iteration: #271, Cost: nan, Gradient Magnitude: 100.97
Iteration: #272, Cost: nan, Gradient Magnitude: 100.77
Iteration: #273, Cost: nan, Gradient Magnitude: 100.57
Iteration: #274, Cost: nan, Gradient Magnitude: 100.37
Iteration: #275, Cost: nan, Gradient Magnitude: 100.17
Iteration: #276, Cost: nan, Gradient Magnitude: 99.97
Iteration: #277, Cost: nan, Gradient Magnitude: 99.77
Iteration: #278, Cost: nan, Gradient Magnitude: 99.57
Iteration: #279, Cost: nan, Gradient Magnitude: 99.37
Iteration: #280, Cost: nan, Gradient Magnitude: 99.17
Iteration: #281, Cost: nan, Gradient Magnitude: 98.98
Iteration: #282, Cost: nan, Gradient Magnitude: 98.78
Iteration: #283, Cost: nan, Gradient Magnitude: 98.58
Iteration: #284, Cost: nan, Gradient Magnitude: 98.38
Iteration: #285, Cost: nan, Gradient Magnitude: 98.19
Iteration: #286, Cost: nan, Gradient Magnitude: 97.99
Iteration: #287, Cost: nan, Gradient Magnitude: 97.79
Iteration: #288, Cost: nan, Gradient Magnitude: 97.60
Iteration: #289, Cost: nan, Gradient Magnitude: 97.40
Iteration: #290, Cost: nan, Gradient Magnitude: 97.21
Iteration: #291, Cost: nan, Gradient Magnitude: 97.01
Iteration: #292, Cost: nan, Gradient Magnitude: 96.82
Iteration: #293, Cost: nan, Gradient Magnitude: 96.63
Iteration: #294, Cost: nan, Gradient Magnitude: 96.43
Iteration: #295, Cost: nan, Gradient Magnitude: 96.24
Iteration: #296, Cost: nan, Gradient Magnitude: 96.05
Iteration: #297, Cost: nan, Gradient Magnitude: 95.85
Iteration: #298, Cost: nan, Gradient Magnitude: 95.66
Iteration: #299, Cost: nan, Gradient Magnitude: 95.47
Iteration: #300, Cost: nan, Gradient Magnitude: 95.28
Iteration: #301, Cost: nan, Gradient Magnitude: 95.09
Iteration: #302, Cost: nan, Gradient Magnitude: 94.90
Iteration: #303, Cost: nan, Gradient Magnitude: 94.71
Iteration: #304, Cost: nan, Gradient Magnitude: 94.52
Iteration: #305, Cost: nan, Gradient Magnitude: 94.33
Iteration: #306, Cost: nan, Gradient Magnitude: 94.14
Iteration: #307, Cost: nan, Gradient Magnitude: 93.95
Iteration: #308, Cost: nan, Gradient Magnitude: 93.76
Iteration: #309, Cost: nan, Gradient Magnitude: 93.58
Iteration: #310, Cost: nan, Gradient Magnitude: 93.39
Iteration: #311, Cost: nan, Gradient Magnitude: 93.20
Iteration: #312, Cost: nan, Gradient Magnitude: 93.02
Iteration: #313, Cost: nan, Gradient Magnitude: 92.83
Iteration: #314, Cost: nan, Gradient Magnitude: 92.64
Iteration: #315, Cost: nan, Gradient Magnitude: 92.46
Iteration: #316, Cost: nan, Gradient Magnitude: 92.27
Iteration: #317, Cost: nan, Gradient Magnitude: 92.09
Iteration: #318, Cost: nan, Gradient Magnitude: 91.91
Iteration: #319, Cost: nan, Gradient Magnitude: 91.72
Iteration: #320, Cost: nan, Gradient Magnitude: 91.54
Iteration: #321, Cost: nan, Gradient Magnitude: 91.36
Iteration: #322, Cost: nan, Gradient Magnitude: 91.17
Iteration: #323, Cost: nan, Gradient Magnitude: 90.99
Iteration: #324, Cost: nan, Gradient Magnitude: 90.81
Iteration: #325, Cost: nan, Gradient Magnitude: 90.63
Iteration: #326, Cost: nan, Gradient Magnitude: 90.45
Iteration: #327, Cost: nan, Gradient Magnitude: 90.27
Iteration: #328, Cost: nan, Gradient Magnitude: 90.09
Iteration: #329, Cost: nan, Gradient Magnitude: 89.91
